Sample,Latitude,Longtitude,Type of sample,   SiO2  ,   TiO2  ,   Al2O3 ,Fe2O3,   FeO   ,   MnO   ,   MgO   ,   CaO   ,   Na2O  ,   K2O   ,   P2O5  ,   F     ,   SO3,S,   Cl    ,LOI,CO2,Original total,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
7452-7,56.6121,161.2684,Pumice lapilli,75.61,0.24,13.28,,1.34,0.03,0.28,1.39,4.64,2.99,0.04,0,0.05,,0.15,1.03,,98.97,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.53,0.26,13.45,,1.29,0.08,0.29,1.32,4.7,2.88,0.01,0.07,0.05,,0.12,1.83,,98.17,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.45,0.23,13.49,,1.25,0.06,0.28,1.37,4.7,3.01,0.04,0,0.03,,0.13,4.02,,95.98,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.68,0.27,13.28,,1.12,0.07,0.29,1.28,4.82,3.03,0.05,0.01,0.01,,0.12,2.13,,97.87,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.65,0.26,13.31,,1.32,0.11,0.32,1.37,4.68,2.85,0.02,0,0.01,,0.13,1.16,,98.84,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.35,0.25,13.38,,1.41,0,0.3,1.35,4.9,2.87,0.04,0.05,0.01,,0.13,1.28,,98.72,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.58,0.27,13.45,,1.3,0.06,0.29,1.37,4.65,2.89,0.03,0.04,0,,0.13,1.49,,98.51,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.34,0.24,13.64,,1.32,0.03,0.29,1.39,4.61,3,0.03,0,0.01,,0.13,0.06,,100.06,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.35,0.24,13.56,,1.18,0.07,0.3,1.36,4.74,3.08,0,0,0.02,,0.12,0.91,,99.09,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.35,0.25,13.49,,1.23,0.1,0.3,1.32,4.84,2.92,0.03,0.07,0.02,,0.14,0.93,,99.07,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.37,0.26,13.54,,1.26,0.08,0.3,1.28,4.74,3.02,0,0.05,0.03,,0.12,1.84,,98.16,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.71,0.27,13.53,,1.06,0.01,0.27,1.31,4.67,2.99,0.04,0.02,0.02,,0.12,2.15,,97.85,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.64,0.27,13.47,,1.32,0.06,0.32,1.33,4.48,2.96,0.04,0,0.01,,0.13,1.01,,98.99,,,,,,,,,,
7452-7,56.6121,161.2684,Pumice lapilli,75.73,0.26,13.45,,1.1,0.04,0.29,1.32,4.7,2.96,0.02,0,0.01,,0.14,2.33,,97.67,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,75.87,0.4,13.17,,1.17,0.04,0.32,1.44,4.82,2.55,0.03,0.08,0.03,,0.16,5.85,,94.15,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,77.97,0.4,11.75,,1.1,0,0.25,1.03,4.33,2.97,0.04,0.07,0.02,,0.13,4.69,,95.31,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,78.6,0.41,11.55,,1.27,0.02,0.12,0.61,4.3,2.95,0,0.11,0,,0.12,0.53,,100.53,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,75.61,0.37,13.3,,1.23,0.04,0.13,1.6,4.92,2.6,0.08,0.02,0.02,,0.12,1.16,,101.16,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,77.76,0.36,12.24,,1.06,0.06,0.14,0.9,4.54,2.83,0.03,0.01,0.01,,0.1,0.2,,99.8,,,,,,,,,,
3000-12,56.5817,161.2265,Pumice lapilli,77.04,0.37,12.9,,1.18,0.05,0.14,0.76,4.48,2.92,0.03,0.03,0.03,,0.12,1.99,,98.01,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.54,0.15,13.7,,1.32,0.06,0.3,1.35,4.47,2.96,0.02,0,0.01,,0.14,2.67,,97.33,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.55,0.34,13.57,,1.26,0.1,0.36,1.4,4.43,2.85,0.03,0,0.01,,0.12,0.26,,100.26,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.45,0.21,13.58,,1.45,0.01,0.31,1.36,4.58,2.94,0.03,0,0.01,,0.11,1.02,,98.98,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.94,0.13,13.67,,1.11,0.01,0.29,1.42,4.38,2.9,0.01,0,0.04,,0.12,1.36,,98.64,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.93,0.07,13.81,,1.05,0.08,0.28,1.22,4.59,2.85,0.03,0,0,,0.12,1.61,,98.39,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.76,0.11,13.55,,1.26,0.15,0.27,1.21,4.51,2.98,0.08,0,0.02,,0.12,1.22,,98.78,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.94,0.13,13.63,,1.05,0.09,0.3,1.24,4.56,2.91,0.04,0,0,,0.15,2.77,,97.23,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.82,0.17,13.56,,1.07,0.11,0.31,1.35,4.63,2.79,0.01,0,0.03,,0.18,6.86,,93.14,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.87,0.06,13.68,,1.2,0,0.29,1.41,4.44,2.9,0.01,0,0.03,,0.14,1.32,,98.68,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.29,0.28,13.65,,1.43,0.02,0.28,1.36,4.57,2.94,0.07,0,0.01,,0.13,0.94,,99.06,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.35,0.22,13.78,,1.34,0.02,0.3,1.35,4.62,2.9,0.03,0,0,,0.12,2.55,,97.45,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.79,0.16,13.67,,1.23,0.04,0.31,1.3,4.53,2.82,0.05,0,0.01,,0.12,1.43,,98.57,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.88,0.18,13.75,,1.16,0,0.31,1.33,4.44,2.82,0.03,0,0.02,,0.12,1.16,,98.84,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.78,0.09,13.67,,1.15,0,0.26,1.41,4.53,2.92,0.08,0,0.01,,0.13,1.21,,98.79,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.66,0.25,13.59,,1.27,0,0.3,1.45,4.42,2.89,0.06,0,0.01,,0.12,0.6,,99.4,,,,,,,,,,
96025-1 ,56.5703,161.4656,Pumice lapilli,75.38,0.26,13.84,,1.12,0.2,0.29,1.37,4.54,2.89,0.01,0,0.02,,0.12,1.16,,98.84,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.74,0.27,13.72,,1.18,0.03,0.3,1.39,4.52,2.72,0.03,0,0.02,,0.13,1.92,,98.08,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.77,0.25,13.7,,1.37,0.09,0.35,1.39,4.21,2.7,0.05,0,0.03,,0.11,1.25,,98.75,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.46,0.21,13.83,,1.3,0.08,0.28,1.39,4.56,2.76,0.03,0,0.03,,0.1,1.95,,98.05,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.32,0.19,13.63,,1.54,0.11,0.43,1.33,4.53,2.76,0.03,0,0.03,,0.12,0.43,,99.57,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.36,0.33,13.67,,1.34,0,0.26,1.37,4.78,2.74,0.03,0,0.02,,0.12,1.27,,98.73,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.46,0.24,13.78,,1.46,0.02,0.32,1.34,4.52,2.75,0.02,0,0.01,,0.1,1.29,,98.71,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,74.45,0.16,14.56,,1.11,0.12,0.32,1.9,4.65,2.57,0.07,0,0,,0.12,3.41,,96.59,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.4,0.13,13.81,,1.39,0,0.29,1.34,4.75,2.75,0.05,0,0,,0.11,1.33,,98.67,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,76.03,0.04,13.84,,1.18,0,0.27,1.38,4.36,2.77,0.04,0,0,,0.13,1.46,,98.54,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,76.13,0.08,13.56,,1.17,0.03,0.3,1.31,4.59,2.68,0.04,0,0.02,,0.12,0.89,,99.11,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,74.28,0.21,14.65,,1.12,0.01,0.28,2.01,4.86,2.45,0,0,0.04,,0.1,0.32,,99.68,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.61,0.22,13.72,,1.22,0.05,0.23,1.67,4.37,2.74,0.04,0,0.04,,0.13,1.61,,98.39,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.86,0.29,13.59,,1.22,0,0.32,1.36,4.47,2.75,0.02,0,0.02,,0.12,1.2,,98.8,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.55,0.19,13.72,,1.16,0.06,0.34,1.45,4.7,2.66,0.05,0,0.04,,0.11,0.42,,99.58,,,,,,,,,,
00K69,56.5629,161.2187,Pumice lapilli,75.12,0.23,13.58,,1.29,0.1,0.29,1.34,5.31,2.64,0,0,0.02,,0.1,2.62,,97.38,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,76.07,0.2,13.45,,1.13,0,0.32,1.39,4.3,2.91,0.09,0,0,,0.16,6.61,,93.39,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75.72,0.25,13.47,,1.17,0.04,0.32,1.4,4.71,2.81,0.01,0,0,,0.14,0.38,,99.62,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75.77,0.28,13.53,,1.31,0.1,0.31,1.31,4.36,2.92,0.01,0,0.02,,0.12,0.96,,99.04,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,76,0.14,13.36,,1.32,0.08,0.33,1.32,4.39,2.89,0.06,0,0,,0.14,4.17,,95.83,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75.8,0.24,13.48,,1.25,0,0.36,1.41,4.46,2.83,0.05,0,0.02,,0.14,0.26,,99.74,,,,,,,,,,
609-6 ,56.7201,161.3889,Pumice lapilli,75,0.26,13.61,,1.38,0.09,0.34,1.37,4.9,2.9,0.05,0,0,,0.11,4.82,,95.18,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.68,0.25,15.5,,2.23,0.1,0.6,1.86,5.3,3.24,0.11,0,0.06,,0.09,0.88,,99.12,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.08,0.21,15.91,,2.2,0.07,0.54,2.43,5.42,2.93,0.11,0,0.03,,0.09,2.52,,97.48,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,69.96,0.33,15.94,,2.37,0.09,0.69,1.92,5.32,3.15,0.14,0,0,,0.1,5.64,,94.36,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,69.5,0.36,16.09,,2.47,0.02,0.64,2.02,5.52,3.05,0.15,0,0.07,,0.12,2.96,,97.04,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.67,0.28,15.56,,2.22,0,0.59,1.98,5.48,2.98,0.13,0,0.04,,0.1,2.79,,97.21,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,68.99,0.37,16.36,,2.23,0.06,0.56,2.65,5.59,2.97,0.12,0,0.04,,0.1,2.75,,97.25,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,70.29,0.38,15.74,,2.37,0.05,0.6,1.83,5.38,3.13,0.09,0,0.05,,0.1,1.64,,98.36,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,68.89,0.25,16.1,,2.27,0.03,0.67,2.27,6.22,2.98,0.08,0,0.14,,0.13,2.4,,97.6,,,,,,,,,,
00K71 ,56.5403,161.1838,Pumice lapilli,72.17,0.45,14.82,,1.83,0.12,0.58,2.3,4.7,2.86,0.06,0,0.03,,0.09,2.31,,97.69,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,74.89,0.22,13.84,,1.39,0.06,0.31,1.36,4.96,2.79,0.05,0,0.02,,0.15,3.3,,96.7,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.46,0.24,13.9,,1.25,0.07,0.28,1.31,4.42,2.87,0.05,0,0.04,,0.14,4.18,,95.82,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.02,0.26,14.03,,1.35,0.05,0.24,1.38,4.7,2.82,0.05,0,0.01,,0.12,1.04,,98.96,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.03,0.24,13.75,,1,0.09,0.28,1.49,4.99,2.96,0.04,0.01,0.03,,0.14,2.57,,97.43,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.3,0.26,14.11,,1.11,0.07,0.27,1.38,4.37,2.9,0.06,0.05,0.01,,0.18,4.77,,95.23,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.31,0.28,14.05,,1.13,0.04,0.33,1.41,4.4,2.9,0.04,0,0.01,,0.14,1.25,,98.75,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.54,0.22,13.96,,1.13,0.06,0.28,1.23,4.45,2.91,0.05,0.05,0.01,,0.16,2.23,,97.77,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,76.15,0.22,13.55,,1,0.04,0.29,1.22,4.46,2.88,0.07,0,0.03,,0.13,0.86,,99.14,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.29,0.24,13.96,,1.14,0.05,0.33,1.49,4.48,2.84,0.01,0.03,0.02,,0.16,2.62,,97.38,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.59,0.3,13.65,,1.31,0.07,0.29,1.33,4.42,2.87,0.03,0,0.06,,0.15,0.82,,99.18,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.93,0.25,13.77,,0.98,0,0.28,1.3,4.44,2.89,0.06,0,0,,0.13,2.07,,97.93,,,,,,,,,,
757-1,56.5672,161.138,Pumice lapilli,75.49,0.25,13.84,,1.34,0.02,0.28,1.29,4.42,2.91,0.02,0,0.05,,0.14,1.27,,98.73,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,76.19,0.19,13.51,,1.08,0.06,0.29,1.19,4.57,2.78,0.02,0,0.01,,0.14,1.7,,98.3,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.92,0.24,13.67,,0.92,0.04,0.32,1.22,4.65,2.8,0.07,0,0.03,,0.13,2.02,,97.98,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,76.03,0.16,13.55,,1.09,0.11,0.25,1.24,4.49,2.87,0.06,0,0.03,,0.15,1.19,,98.81,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.9,0.16,13.49,,1.35,0,0.25,1.19,4.68,2.78,0.05,0,0.05,,0.12,0.88,,99.12,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,76.01,0.31,13.42,,1.11,0,0.33,1.25,4.47,2.9,0.06,0,0.03,,0.14,1.43,,98.57,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,76.03,0.05,13.87,,1.08,0,0.25,1.23,4.37,2.97,0.03,0,0.03,,0.13,1.19,,98.81,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,76.15,0.25,13.52,,1.27,0.02,0.27,1.24,4.31,2.82,0.05,0,0.01,,0.14,1.58,,98.42,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.92,0.17,13.63,,1.05,0.03,0.27,1.32,4.57,2.84,0.06,0,0.01,,0.14,1.9,,98.1,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.99,0.38,13.58,,1.07,0,0.29,1.26,4.39,2.89,0,0,0.03,,0.14,0.71,,99.29,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,76.17,0.17,13.68,,0.96,0.04,0.24,1.21,4.46,2.92,0.03,0,0.01,,0.15,1.33,,98.67,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.79,0.21,13.52,,1.18,0.05,0.35,1.23,4.65,2.85,0.06,0,0,,0.14,1.93,,98.07,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.95,0.33,13.65,,1.1,0.07,0.32,1.21,4.39,2.86,0,0,0.01,,0.16,4.37,,95.63,,,,,,,,,,
96025-3 ,56.5703,161.4656,Pumice lapilli,75.95,0.26,13.69,,1.08,0.09,0.26,1.28,4.44,2.8,0.01,0,0.03,,0.15,1.24,,98.76,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,75.7,0.24,13.62,,0.94,0.05,0.11,1.31,4.94,2.94,0.04,0,0.01,,0.12,1.67,,98.33,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,76.14,0.18,13.5,,1.02,0.06,0.18,1.11,4.46,3.21,0.04,0,0.01,,0.13,0.96,,99.04,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,76.05,0.18,13.29,,1.17,0.09,0.21,1.09,4.43,3.33,0.06,0,0.01,,0.11,0.85,,99.15,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,77.08,0.4,12.67,,1.14,0,0.18,0.74,4.17,3.48,0.03,0,0.02,,0.14,1.34,,98.66,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,75.59,0.23,13.98,,0.97,0,0.13,1.39,5.08,2.54,0.02,0,0,,0.09,0.93,,99.07,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,76.88,0.04,13.09,,0.99,0.11,0.11,1.02,4.29,3.28,0.11,0,0,,0.1,2.12,,97.88,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,77.16,0.12,12.62,,1.24,0.04,0.19,0.75,4.31,3.43,0.04,0,0.01,,0.13,3.02,,96.98,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,75.53,0.26,13.84,,0.97,0,0.18,1.19,4.89,3.01,0.05,0,0,,0.12,1.77,,98.23,,,,,,,,,,
00K70,56.5629,161.2187,Pumice lapilli,75.16,0.2,14.25,,0.81,0,0.12,1.44,5.09,2.81,0.04,0,0.01,,0.08,2.41,,97.59,,,,,,,,,,
96025-4 ,56.5703,161.4656,Pumice lapilli,73.26,0.34,14.35,,2.1,0.04,0.45,1.9,4.66,2.7,0.03,0,0.05,,0.16,0.31,,100.31,,,,,,,,,,
96025-4 ,56.5703,161.4656,Pumice lapilli,75.85,0.09,13.68,,1.14,0.02,0.28,1.29,4.54,2.89,0.07,0,0.04,,0.16,5.21,,94.79,,,,,,,,,,
96025-4 ,56.5703,161.4656,Pumice lapilli,75.78,0.27,13.79,,1.13,0.1,0.28,1.22,4.43,2.84,0.05,0,0,,0.14,3.74,,96.26,,,,,,,,,,
96025-4 ,56.5703,161.4656,Pumice lapilli,73.3,0.3,14.36,,1.88,0.12,0.39,1.84,4.85,2.75,0.03,0,0.04,,0.17,2.07,,97.93,,,,,,,,,,
96025-4 ,56.5703,161.4656,Pumice lapilli,72.3,0.31,15.36,,1.71,0.18,0.38,2.26,4.72,2.58,0.05,0,0.04,,0.13,0.11,,100.11,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,76.02,0.21,13.08,,1.17,0,0.3,1.29,4.82,2.97,0.03,0,0.02,,0.13,2.11,,97.89,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,75.98,0.26,13.46,,1.08,0.13,0.29,1.25,4.39,2.98,0.03,0,0.05,,0.12,0.61,,99.39,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,76.35,0.33,12.8,,1.14,0.16,0.23,0.94,4.6,3.29,0.02,0,0.01,,0.15,2.83,,97.17,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,75.96,0.3,13.38,,1.03,0.06,0.3,1.27,4.57,2.97,0.04,0,0.02,,0.12,1.52,,98.48,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,76.96,0.15,12.74,,1.2,0.05,0.23,0.94,4.34,3.26,0.01,0,0.03,,0.11,1.24,,98.76,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,75.43,0.35,13.48,,1.4,0.06,0.31,1.33,4.67,2.82,0.07,0,0,,0.1,4.91,,95.09,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,76.1,0.24,13.49,,1.07,0,0.29,1.25,4.6,2.79,0.04,0,0.03,,0.11,1.69,,98.31,,,,,,,,,,
00K7,56.5232,161.4064,Pumice lapilli,76.65,0.31,13.25,,1.15,0,0.32,1.28,3.8,3.05,0.04,0,0.04,,0.14,1.17,,98.83,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.54,0.33,13.52,,1.23,0.13,0.3,1.27,4.42,3.08,0.03,0,0.04,,0.15,3.45,,96.55,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,76.07,0.24,13.45,,1.11,0.03,0.28,1.27,4.38,2.99,0.04,0,0.06,,0.12,3.02,,96.98,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.51,0.27,13.41,,1.3,0.13,0.26,1.35,4.54,3.07,0.05,0,0.03,,0.11,3.12,,96.88,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.49,0.09,13.27,,1.42,0.11,0.6,1.56,4.47,2.86,0.05,0,0,,0.12,3.73,,96.27,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.93,0.18,13.5,,1.18,0.06,0.31,1.28,4.37,3.07,0.01,0,0,,0.14,3.73,,96.27,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.91,0.22,13.54,,1.23,0,0.29,1.32,4.28,3.04,0.05,0,0.04,,0.12,3.44,,96.56,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,76.07,0.39,13.24,,1.09,0.02,0.25,1.31,4.43,3.02,0.06,0,0.03,,0.1,3.9,,96.1,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.47,0.46,13.57,,1.23,0.14,0.28,1.26,4.4,3.05,0.04,0,0,,0.13,2.96,,97.04,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.96,0.37,13.52,,1.16,0,0.29,1.23,4.39,2.96,0.02,0,0.02,,0.12,3.06,,96.94,,,,,,,,,,
00K66 ,56.5629,161.2187,Pumice lapilli,75.93,0.27,13.47,,1.13,0,0.27,1.33,4.45,2.99,0.04,0,0.03,,0.12,2.35,,97.65,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.75,0.27,12.33,,0.88,0.09,0.15,0.86,4.33,3.2,0.02,0,0,,0.16,5.96,,94.04,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.46,0.24,12.51,,1.21,0.09,0.24,0.82,4.03,3.24,0.04,0.01,0,,0.13,1.11,,98.89,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.71,0.29,12.51,,1.23,0,0.15,0.77,3.94,3.24,0.04,0.01,0,,0.14,3.49,,96.51,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.86,0.28,12.5,,1.07,0,0.17,0.82,3.85,3.2,0.08,0.1,0.01,,0.12,1.6,,98.4,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,76.68,0.26,13.24,,1.07,0,0.18,1.21,4.3,2.9,0.05,0,0.01,,0.13,1.07,,98.93,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,75.73,0.23,13.81,,1.07,0,0.18,1.38,4.67,2.83,0,0,0.01,,0.12,0.91,,99.09,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.72,0.28,12.61,,1.03,0.06,0.15,0.81,3.91,3.27,0.02,0.02,0.01,,0.14,2.27,,97.73,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,74.43,0.23,14.82,,1.04,0,0.14,2.02,4.69,2.53,0.02,0.01,0,,0.1,0.45,,99.55,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,75.77,0.26,13.5,,1.02,0.06,0.2,1.24,4.84,2.92,0.02,0.08,0.03,,0.11,4.47,,95.53,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.71,0.27,12.68,,1.01,0.04,0.15,0.89,4,3.11,0.02,0,0.01,,0.13,4.46,,95.54,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,76.92,0.24,13.03,,1.14,0.07,0.16,0.96,4.11,3.18,0.03,0.06,0.02,,0.13,1.93,,98.07,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.08,0.24,12.99,,1,0,0.17,1.03,4.14,3.13,0.06,0.02,0.04,,0.14,2.3,,97.7,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.44,0.29,12.67,,1.16,0,0.17,0.92,4.09,3.14,0.01,0,0,,0.15,1.52,,98.48,,,,,,,,,,
757-4,56.5672,161.138,Pumice lapilli,77.15,0.28,12.47,,1.1,0.06,0.18,1.08,4.25,3.21,0.02,0.13,0.01,,0.14,6.05,,93.95,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.07,0.27,12.8,,1.02,0.16,0.1,0.86,4.22,3.39,0.04,0,0,,0.1,1.81,,98.19,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.51,0.18,12.46,,0.97,0.03,0.13,0.88,4.22,3.54,0,0,0.01,,0.1,4.13,,95.87,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.96,0.33,12.3,,0.9,0.05,0.15,0.86,4.01,3.31,0.03,0,0.04,,0.07,3.16,,96.84,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.46,0.29,12.76,,0.77,0,0.12,0.98,4.28,3.27,0,0,0,,0.1,6.33,,93.67,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.32,0.17,12.83,,0.97,0.04,0.12,0.84,4.21,3.36,0.06,0,0,,0.1,4.15,,95.85,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.46,0.12,12.56,,1.01,0.14,0.14,0.89,4.17,3.4,0.02,0,0,,0.1,4.4,,95.6,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.68,0.13,12.68,,0.83,0.12,0.11,0.87,4.02,3.45,0.05,0,0.01,,0.08,2.72,,97.28,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.27,0.28,12.82,,1.04,0,0.14,0.85,4.22,3.25,0.06,0,0,,0.11,1.19,,98.81,,,,,,,,,,
00K67,56.5629,161.2187,Pumice lapilli,77.36,0.27,12.79,,1.01,0,0.11,0.81,4.27,3.25,0.02,0,0.01,,0.12,2.66,,97.34,,,,,,,,,,
