Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
jsm-2,16.9056,80.0856,36.17,4.49,13.37,24.27,,0.15,8.64,5.49,0.52,1.41,0.37,,,,,,5,382.91,67.62,129.66,1.07,,126.48,50.07,271.7,292.6,272.32
jsm-2,16.90555556,80.08555556,36.17,4.49,13.37,24.27,,0.15,8.64,5.49,0.52,1.41,0.37,,,,,,5,382.91,67.62,129.66,1.07,,126.48,50.07,271.7,292.6,272.32
sr/5,20.9896,82.774,36.17,5.74,7.02,19.45,,0.26,6.27,9.36,0.86,2.92,0.93,,,,,,9.48,1466,77,260,4.9,,200,84.945,504.4,374,402
sr/5,20.98955556,82.774,36.17,5.74,7.02,19.45,,0.26,6.27,9.36,0.86,2.92,0.93,,,,,,9.48,1466,77,260,4.9,,200,113,693,374,402
a1,19.025,81.885,36.21,2.22,3.81,12.69,,0.21,30.93,0.77,,,0.51,,,,,,12.32,41,65,1126,,,1197,0,27.1,42,168
rbh-51,16.05,76.75,36.27,0.74,11.24,10.83,,0.26,5.54,17.31,1.22,1.43,0.1,,,,,,12.67,250,30.22,134.65,12.23,,92.94,48.33,87.84,191.2,39.08
sr/1,20.9896,82.774,36.27,5.6,7.27,17.26,,0.19,7.25,12.15,0.83,2.6,0.99,,,,,,7.78,1803,71,270,6.4,,170,92.955,699.615,373,418
sr/1,20.98955556,82.774,36.27,5.6,7.27,17.26,,0.19,7.25,12.15,0.83,2.6,0.99,,,,,,7.78,1803,71,270,6.4,,170,122,943,373,418
mg 6,24.616,80.036,36.29,5.11,2.63,6.39,2.32,0.14,26.29,3.1,0.05,0.55,1.89,0.24,,,,,,7760,,,,,,,,,
95-bmr-038,25.72,71.92,36.43,6.05,10.93,16.92,,0.2,9.55,15.34,3.02,1.97,0.7,,,,,0.01,0.1,,,419,,,73,54.5,885.3,,307
