Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
mmd3,19.12,72.91,48.74,2.25,13.95,13.4,,0.19,5.4,10.3,2.12,0.5,0.24,,,,,,2.18,190,50,312,0.01,,60,8.3,166,305,79
no.15 (961),16.4,74,48.74,2.31,13.48,14.03,,0.22,6.31,9.9,2.16,0.44,0.23,,,0.0015,,,1.9,105,,133,,,76,8,203,,103
15-Feb,23.05,80.43,48.74,2.57,14.27,15.4,,0.21,5.56,9.89,2.8,0.33,0.2,,,,,,,,,,,,68,0,278.8,,57
mmd13,19.12,72.91,48.74,2.77,12.69,15.06,,0.21,5.7,10.29,2.13,0.03,0.25,,,,,,1.37,37,48,93,0,,86,0,194,401,147
rm102,14.91,77.375,48.75,0.61,12.26,13.45,,0.19,7.11,10.95,1.49,0.81,0.05,,,,,,,52,43,331,0.7,,,17.2,63,300,5.3
rm166,14.91,77.375,48.75,0.92,10.65,15.24,,0.24,8.44,11.1,0.87,0.03,0.06,,,,,,,,,,,,,,,210,
kgf9c,13.13,78.13,48.75,1.33,13.42,,17.43,0.21,6.21,9.1,2.45,0.44,0.06,,,,,,,354,,151,,,245,,222,265,120
ta08,18.2381,78.3447,48.75,2.33,13.68,14.68,,0.2,6.17,10.96,2.21,0.32,0.21,,,0.00903,,,0.9,94.7,39,154.5,,,94.6,8.3,229.4,380,144.2
4,11.1,76.6,48.75,2.39,14.54,4.48,8.44,0.17,6.8,10.74,1.96,0.3,0.36,,,,,,0.85,,60,310,,,200,118,110,,35
d79,21.5,70.5,48.75,2.9,16.49,1.92,9.63,0.17,6.38,9.3,2.92,1.25,0.28,,,,,,2.84,574,,6,,,50,34,510,294,186
wtf-11,19.86,73.525,48.75,3.04,13.21,15.61,,0.2,4.83,9.08,2.62,0.6,0.4,,,,,,1.39,217,40,81,,,71,27,242,388,230
ab04-22,16,74.2,48.75,3.16,13.59,,15.16,0.21,5.8,10.19,2.41,0.46,0.27,,,,,,,,,,,,,,,,
ak/rl2/1,16.837,79.28,48.75,4.11,6.49,10.79,,0.13,9.39,8.03,1.32,5.46,1.67,,,,,,3.09,877,35,350,0.5,,250,114,1679,118,1049
ak/rl2/1,16.83702778,79.28,48.75,4.11,6.49,10.79,,0.13,9.39,8.03,1.32,5.46,1.67,,,,,,3.09,877,35,350,0.5,,250,114,1679,118,1049
g20,16.125,78.75,48.76,0.24,9.32,11.51,,0.15,20.54,8.98,0.48,,0.02,,,,,,4.12,10,84,2455,2.9,,1136,4.2,11,60,14
mn-21,12.87,76.75,48.76,0.26,8.89,2.22,8.02,0.13,27.15,5.14,0.26,0.05,0,,,,,,,,76,2320,,,920,6,25,,
ng12,21.5,79,48.76,2.53,12.38,5.57,9.47,0.21,5.93,9.96,2.3,0.3,0.24,,,,,,1.34,100,54,77,,,77,5,201,416,175
bb13,18.1478,77.5,48.76,2.95,15.68,14.08,,0.22,4.13,8.48,2.26,0.71,0.28,,,0.00237,,,1,89.2,37.1,246,,,101.6,1.8,253.8,427.5,161
3,21.71,73.29,48.76,3.12,16.01,7.07,4.59,0.18,4.52,7.98,2.59,2.24,0.33,,,,,,,,,,,,,,,,
ak/rl2/2,16.837,79.28,48.76,4.15,6.56,11.01,,0.14,9.71,8.41,1.31,5.26,1.67,,,,,,3.36,977,40,390,0.6,,290,123,1691,117,1064
ak/rl2/2,16.83702778,79.28,48.76,4.15,6.56,11.01,,0.14,9.71,8.41,1.31,5.26,1.67,,,,,,3.36,977,40,390,0.6,,290,123,1691,117,1064
nalla,16.9583,80.0433,48.76,4.839,6.43,9.416,,0.0763,11.05,9.629,0.2484,1.007,1.487,,,0.0536301,,,,404.6,44.54819386,238.2,0.244157427,40.23983449,190.3,38,953.4,297.948,964.7
k,18.9594,81.5678,48.77,2.61,13.06,18.73,,0.22,3.91,8.31,2.44,1.07,0.39,,,,,,1.08,289,,48,,,43,56,147,,247
k,18.95944444,81.56777778,48.77,2.61,13.06,18.73,,0.22,3.91,8.31,2.44,1.07,0.39,,,,,,1.08,289,,48,,,43,56,147,,247
d-15,11.1,78.46666667,48.78,0.62,12.77,13.01,,0.15,10.72,11.17,0.6,0.08,0.06,,,,,,,45.37,75.5,157.8,0.27,,275.12,1.4,101.53,194.3,49.8
196b,14.2,76.4,48.78,0.84,18.82,1.88,10.82,0.17,2.2,13.51,1.9,0.42,0.45,,,,,,,,,,,,,,,,
fbr/3,22.1,74.17,48.78,2.37,13.99,3.55,11,0.31,6.28,10.88,2.28,0.22,0.36,,,,,,,,,,,,,,,,
97/355,18.1818,81.3823,48.79,0.95,14.35,16.76,,0.22,5.1,11.06,1.53,0.25,0.13,,,,,,0.25,106,,106,,,115,6,145,305,74
1911-9a,11.4685,76.813,48.79,1.558,13.51,15.68,,0.218,5.85,10.22,1.85,0.3,0.13,,,,,,1.77,78,43,120,0,,60,4,127,387,90
19119a,11.4685,76.813,48.79,1.558,13.51,15.68,,0.218,5.85,10.22,1.85,0.3,,,,,,,1.77,78,43,120,,,60,4,127,387,90
bas256,16.7,74.2167,48.79,3.62,13.05,15.11,,0.24,4.64,10.61,3.21,0.37,0.35,,,,,,,97,,97,,,63,12,210,380,181
q-45,16.62,80.53,48.8,0.18,26.42,0.95,4.5,0.08,3.65,12.42,2.26,0.17,0.07,,,,,,,137,36,32,,,41,5,460,88,6
gh-17,16,76.75,48.8,0.73,11.5,,10.1,0.19,10.5,12.6,1.7,0.94,,,,,,,2.3,510,,690,,,154,,451,,56
rbh-47,16.05,76.75,48.8,0.92,14.66,12.18,,0.21,5.8,11.76,2.6,0.46,0.1,,,,,,2.48,47,44.22,171.81,0.85,,114.25,12.36,105.96,240.18,46.18
rbh-47,16.19583333,76.70433333,48.8,0.92,14.66,12.18,,0.21,5.8,11.76,2.6,0.46,0.1,,,,,,2.48,47,44.22,171.81,0.85,,114.25,12.36,105.96,240.18,46.18
ba41,24.75,73.53,48.8,0.98,12.5,,11.81,0.19,10,11.52,3.46,0.24,0.11,,,,,,0.97,,,280,,,93,,,220,57
d106,21.5,70.5,48.8,1.12,15.06,12.27,,0.18,10.32,10.39,1.55,0.19,0.13,,,,,,3.73,49,54,380,1.2,,216,8,154,272,79
k42c,14.5,79.75,48.8,1.43,12.5,5.76,10.8,0.22,6.51,10.18,1.49,0.17,0.11,,,,,,0.57,60,75,82,,,30,2.9,72,331,3.8
k42c,14.2,79.68,48.8,1.43,12.5,5.76,10.8,0.22,6.51,10.18,1.49,0.17,0.11,,,,,,0.57,60,75,82,,,30,2.9,72,331,3.8
k35d,14.2,79.68,48.8,1.57,14.61,5.77,8.1,0.18,8.98,7.18,3.33,0.14,0.22,,,,,,0.31,,,,,,,,,,
k35d,15.25,79.58333333,48.8,1.57,14.61,5.77,8.1,0.18,8.98,7.18,3.33,0.14,0.22,,,,,,0.31,,,,,,,,,,
be.9,24.93,73.82,48.8,2.31,14,12.49,,0.21,8.1,10.17,2.46,1.7,0.46,,,,,,0.99,543,,417,,,122,48,500,241,282
be.9,24.5,73.7,48.8,2.31,14,12.49,,0.21,8.1,10.17,2.46,1.7,0.46,,,,,,0.99,543,,417,,,122,48,500,241,282
2,23.93,78.63,48.8,2.33,13.71,3.21,10.57,0.21,6.23,10.79,2.3,0.33,0.23,,,,,,,,,,,,,,,,
t-2,16.9236,80.1365,48.8,3.76,5.72,11.18,,0.15,11.98,9.79,0.62,2.38,0.51,,,,,,4.95,945.2,45.76,205.5,0.308,,167.1,52.66,1446,146.1,923.2
t-2,16.9,80.1,48.8,3.76,5.72,11.18,,0.15,11.98,9.79,0.62,2.38,0.51,,,,,,4.95,945.2,45.76,205.5,0.308,,167.1,52.66,1446,146.1,923.2
ng15,21.5,79,48.81,1.82,14.38,3.09,9.24,0.19,7.13,11.49,2.26,0.15,0.15,,,,,,1.11,51,57,264,,,138,4,203,360,104
abc33,17.85,73.6,48.81,1.86,14.03,14.48,,0.2,6.25,10.95,3.09,0.17,0.15,,,,,,,105,,,,,60,3,229,,124
msr,21.46,78.45,48.81,1.99,11.6,3.43,9.23,0.14,8.14,11.23,3.04,0.41,0.16,,,,,,,,,,,,,,,,
j2,21.46,78.45,48.81,2.34,1.6,6.36,8.01,0.11,6.24,10.6,3.07,0.21,0.2,,,,,,,,,,,,,,,,
4,19,72.85,48.81,2.47,14.6,15.58,,0.26,4.81,6.12,3.8,1.56,0.98,,,,,,,665,28,39,,,33,51,426,171,203
bm-12-51,18.17,73.92,48.81,2.53,14.08,,14.01,0.2,6.27,11.43,2.24,0.2,0.23,,,,,,,,,89,,,83,4,216,473,143
bl-36,19,75.75,48.81,2.56,14.38,14.93,,0.23,5.75,11.05,2.94,0.21,0.18,,,,,,1.66,78,94,125,,,45,5,298,648,170
in-8,20.47,77.53,48.81,2.71,13.13,4.45,9.88,0.24,5.2,10.33,2.65,0.31,0.22,,,,0.04,,2.22,110,34,27,,4,44,4,180,320,120
ma-w-51,17.93,73.6,48.81,2.8,13.39,,14.6,0.21,6.67,10.71,2.24,0.34,0.23,,,,,,,46,,124,,,85,5,198,394,147
m-9,23.8347,80.2514,48.82,0.93,11.3,15.14,,0.19,7.63,11.2,1.84,0.32,0.11,,,,,,1,172.1,47.6,104.9,1.1,,91.7,2.9,120.4,244.1,510
mmf9,19.12,72.91,48.82,2.14,11.82,14.65,,0.18,5.28,9.65,3.23,0.4,0.15,,,,,,5.86,242,46,386,0.04,,93,5,416,304,132
gu03,17.4011,76.8697,48.82,2.56,13.64,15.09,,0.2,6.1,10.7,2.35,0.23,0.23,,,0.00759,,,0.5,76.5,39.4,98.8,,,91,3.3,216.3,441.4,154.1
l,18.97027778,81.55722222,48.82,2.59,11.65,19.6,,0.23,4.57,8.79,2.59,0.67,0.35,,,,,,0.74,219,,40,,,55,27,124,,209
l,18.9703,81.5572,48.82,2.59,11.65,19.6,,0.23,4.57,8.79,2.59,0.67,0.35,,,,,,0.74,219,,40,,,55,27,124,,209
rih-14,15.90180556,76.08902778,48.83,0.9,8.27,16.02,,0.24,13.03,9.84,1.36,0.74,0.07,,,,,,0.75,144.82,81,1100,,,308,22.06,111,175,41.97
rih-14,15.96165,75.9647,48.83,0.9,8.27,16.02,,0.24,13.03,9.84,1.36,0.74,0.07,,,,,,0.75,144.82,81,1100,,,308,22.06,111,175,41.97
dg45,11.84313889,76.05741667,48.83,0.93,17.59,8.98,,0.13,7.71,12.08,2.45,0.22,0.13,,,,,,0.28,109,47,575,,,111,3,328,178,44
106,15.125,76.8,48.83,0.98,8.58,1.85,9.8,0.18,13.03,11.93,1.04,0.15,0.07,,,,,,2.76,14,58,1308,,,361,6,48,282,15
nw-95a,23.3,70,48.83,1.25,17.61,9.3254,,0.21,6.32,5.05,7.67,2.37,0.58,,,,,,,0.069,39.6,2.045,1.983,,17.5,119.139,0.616,20.6,363.4
Oct-35,21,82,48.83,1.3,13.47,15.53,,0.21,5.11,8.9,2.33,0.65,0.14,,,,,,2.19,181,,80,,,60,25,154,,90
bas211,16.7,74.2167,48.83,2.33,14.62,14.09,,0.22,6.45,10.94,2.28,,0.23,,,,,,,49,,236,,,80,3,224,374,135
ma-w-26,17.93,73.6,48.83,2.75,13.52,,14.52,0.21,6.65,10.72,2.26,0.31,0.23,,,,,,,58,,117,,,87,3,208,393,149
abc10,18,73.75,48.83,3.34,13.06,16.23,,0.24,5.12,10.03,2.48,0.3,0.31,,,,,,,135,,,,,48,11,250,,205
4,22.475,73.56,48.84,0.25,16.36,1.52,11.05,0.29,5.04,6.18,5,1.6,0.28,,,,,,,500,30,60,,45,30,,150,5,
16-Oct,21,82,48.84,1.15,13.97,15.38,,0.21,6.08,10.14,2.21,0.29,0.12,,,,,,0.48,75,,120,,,90,13,119,,73
33,18.21,73.545,48.84,1.73,14.07,5.14,10.28,0.17,5.1,10.01,2.91,0.35,0.31,,,,,,1.46,131,,,,,116,11,233,,179
wtd-17,19.86,73.525,48.84,2.37,12.46,16.57,,0.22,5.23,10.08,2.45,0.43,0.25,,,,,,0.82,73,45,45,,,50,12,198,475,144
abc13,18,73.75,48.84,2.39,13.7,15.03,,0.19,6.42,10.59,2.4,0.22,0.21,,,,,,,83,,,,,86,2,215,,130
28/558,19.63,79.83,48.84,2.63,14.37,2.63,10,0.22,5.33,9.82,2.26,0.52,0.36,,,,,,,,,,,,,,,,
kk-11-51,18,74.32,48.84,2.93,13.34,,15.1,0.21,5.83,11.05,2.25,0.2,0.25,,,,,,,28,,77,,,85,4,226,498,165
red,17.5703,81.5711,48.84,5.183,6.592,11.03,,0.1332,8.324,9.712,0.9567,4.625,1.639,,,0.0627596,,,,983.3,43.55343628,223.9,1.696220881,86.24928008,168.9,120.94,2144,148.074,1001
82,15.125,76.8,48.85,0.59,15.22,1.81,8.5,0.15,10.18,9.87,2.17,0.31,0.04,,,,,,2,85,60,467,,,283,21,130,245,8
195,20.35,72.91,48.85,1.94,13.62,2.59,13.18,0.2,6.4,10.16,2.21,0.63,0.22,,,,,,,101,41,176,,,81,,245,344,136
195,20.25,72.75,48.85,1.94,13.62,15.76,,0.2,6.4,10.16,2.21,0.63,0.22,,,,,,,101,41,176,,,81,,245,344,136
edd09/14,13.83383333,78.23366667,48.85,2.2,13.23,18.09,,0.25,4.35,9.03,2.45,0.71,0.25,,,,,,0.79,234,,40,,,60,19,182,430,146
edd09/14,13.83383333,78.23366667,48.85,2.2,13.23,18.09,,0.25,4.35,9.03,2.45,0.71,0.25,,,,,,0.79,234,,40,,,60,19,182,430,146
ma-w-31,17.93,73.6,48.85,2.79,13.33,,14.66,0.22,6.57,10.89,2.22,0.24,0.23,,,,,,,40,,129,,,86,5,199,423,148
ma-z3-51,17.93,73.6,48.85,4.53,12.01,,16.37,0.2,4.95,9.46,2.51,0.67,0.45,,,,,,,129,,56,,,70,15,248,551,250
csd16,22.5,72,48.86,0.9,14.33,12.2,,0.2,9.8,13.09,1.52,0.34,0.12,,,,,,1.8,105,46.8,646,0.17,,183,11.1,118,322,56.6
97/188,18.8736,81.6836,48.86,0.98,15.14,14.32,,0.22,5.69,10.71,1.64,0.22,0.13,,,,,,0.12,69,,,,,,,126,305,78
sb-53,20.7817,79.9532,48.86,1.01,12.33,14.49,,0.21,7.99,11.16,1.4,0.18,0.06,,,,,,0.91,10,40,385,,,107,10,117,289,66
td3,21.46,78.45,48.86,2.18,12,2,9.35,0.17,7.42,12.4,3.05,0.14,0.14,,,,,,,,,,,,,,,,
ch-23,20.6,76.67,48.86,2.37,13.63,,14.79,0.2,6.61,10.97,2.13,0.23,0.21,,,,,,,33,,150,,,107,8,190,417,129
md23-1a,10.96666667,78.4,48.87,0.45,8.68,8.71,,0.16,17.67,12.94,0.64,0.1,0.03,,,,,,,90.916,54.027,1085.703,0.042,,251.988,1.138,40.81,321.738,23.126
26,12.7,76.29,48.87,1.83,12.71,2.43,11.4,0.25,6.5,9.93,2.92,0.15,0.2,,,,,,2.23,,,,,,,,,,
bl40,19,75.75,48.87,2.1,13.07,15.53,,0.21,6.26,10.88,2.69,0.22,0.21,,,,,,1.74,54,108,159,,,51,8,283,833,141
wy-7-2,11.75622222,76.19872222,48.88,0.2,9.23,9.34,8.31,0.07,25.75,0.11,0.04,0.02,0.02,,,,,,4.908,89.04,16,749,0.11,,85,6.42,95.1,26.38,35.34
sb-3a,20.7817,79.9532,48.88,2.36,14.95,10.65,,0.16,6.18,10.89,2.32,0.23,0.27,,,,,,2.9,1051,8,163,,,110,133,35,,524
ng20,21.5,79,48.88,2.41,13.02,5.13,9.34,0.23,5.68,10.32,2.4,0.3,0.22,,,,,,1.11,104,52,84,,,77,9,195,464,158
73j/m,18,73.75,48.88,2.57,15.2,14.06,,0.22,6.26,9.24,2.89,0.36,0.28,,,,,,,105,,,,,106,6,276,,125
bn-7,19,75.75,48.88,2.64,13.84,15.58,,0.2,5.08,10.72,2.53,0.4,0.2,,,,,,1.81,72,105,99,,,43,7,276,573,174
sa82-25,23.41,80.19,48.88,2.71,13.46,,14.3,,5.97,11.11,2.25,0.2,0.26,,,,,,,43,,,,,117,2.18,236.2,397,173
bh10.2,23.3,70,48.88,4.29,11.65,16.93,,0.18,4.22,8.39,2.25,0.82,0.52,,,,,,,198.8,60,6.762,0.36,,17.2,17.1,215.8,411.2,286
bh10.2,23.27,69.67,48.88,4.29,11.65,16.93,,0.18,4.22,8.39,2.25,0.82,0.52,,,,,,,,,,,,,,,,
r-23,21.8,73.7,48.88,4.54,12.26,4.47,10.42,0.17,4.5,7.01,2.99,2.53,0.56,,,,,,,1350,,31,,,54,71,840,536,312
csd14,22.5,72,48.89,1.06,14.28,11.21,,0.17,7.97,10.47,1.88,0.69,0.13,,,,,,2.8,,,,,,,,,,
d49,21.5,70.5,48.89,1.32,16.22,11.89,,0.15,8.45,10.34,1.95,0.58,0.18,,,,,,,129,,540,,,162,18,146,266,101
1,22.475,73.56,48.89,2.34,14.56,3.1,9.04,0.14,5,11.2,2.23,1.26,0.08,,,,,,,250,45,350,,45,250,,125,45,
gh-8,16,76.75,48.9,0.84,16,,11.7,0.2,7.4,14,2,0.15,,,,,,,,33,,221,,,181,,146,,44
ba07,24.75,73.53,48.9,0.91,12.7,,11.38,0.18,9.9,13.23,4.01,0.13,0.04,,,,,,0.93,,,460,,,160,,,220,58
pp2,20.7307,82.6464,48.9,1.45,14.2,14,,0.23,6.17,10.9,1.9,0.67,0.07,,,,,,1.88,158,45,208,10.6,,85,41,151,148,74
wtkv12,10.601,78.16377778,48.9,1.505,14.5,11.2,,0.17,9.01,11.7,2.34,0.28,0.24,,,0.000004,,,0.55,130,,490,,,,2.7,300,305,65
v-161,14.875,74.7,48.9,1.7,11.7,2.3,10.6,0.1,10.5,9,2.8,0.9,,,,,,,1.1,,,229,,,287,13,,,
jsf-8,21.08,79.03,48.9,1.81,13.81,13.33,,0.17,6.3,11.28,2.25,0.11,0.2,,,,,,1.63,56,47,173,,,92,9,208,378,111
k35g,14.2,79.68,48.9,1.83,15.29,5.62,7.56,0.19,9.58,6.04,2.88,0.15,0.23,,,,,,0.63,,,,,,,,,,
k35g,15.25,79.58333333,48.9,1.83,15.29,5.62,7.56,0.19,9.58,6.04,2.88,0.15,0.23,,,,,,0.63,,,,,,,,,,
928,17.3,73.5,48.9,1.97,13.9,6.63,5.58,0.18,6,10.6,2.8,0.28,0.21,,,,,,,,,,,,,,,,
bo3,20.733,82.6587,48.9,2.1,13.1,14.7,,0.23,6.06,9.92,2.02,0.24,0.24,,,,,,2.78,120,42,221,7.8,,46,33,170,263,143
bo3,20.73301667,82.65866667,48.9,2.1,13.1,14.7,,0.23,6.06,9.92,2.02,0.24,0.24,,,,,,2.78,120,42,221,7.8,,46,33,170,263,143
bb1,17.9117,77.5464,48.9,2.16,13.72,13.4,,0.19,6.93,10.99,2.46,0.16,0.16,,,,,,0.6,52.9,,148.3,,,97.9,1.1,210.4,371.3,128.1
992,18.3,73.5,48.9,2.53,13.9,3.7,9.54,0.21,6.5,10.8,2.09,0.25,0.2,,,,,,,23,71,102,,,80,7,209,383,141
974,18.3,73.5,48.9,2.7,13.3,6.01,7.02,0.19,7,10.6,2.58,0.33,0.26,,,,,,,22,48,246,,,125,7,240,379,158
ma-w-25,17.93,73.6,48.9,2.77,13.38,,14.62,0.21,6.69,10.67,2.19,0.33,0.24,,,,,,,48,,120,,,82,4,195,373,148
963,16.4,74,48.9,2.88,13,3.85,9.63,0.22,6.5,10.5,2.64,0.29,0.26,,,,,,,28,46,83,,,80,8,222,397,163
j-11,19.75,83.20833333,48.91,0.2,24.59,2.11,3.06,0.08,6.98,11.68,1.63,0.14,0.03,,,,,,,82,,36,,,119,2,366,41,
27,19.03,72.92,48.91,0.7,17.42,6.16,10.67,,2.78,9.17,3.44,0.75,,,,,,,,,,,,,,,,,
kgf4,13.13,78.13,48.91,1.26,14.24,,14.98,,7.21,10.45,2.54,0.36,0.08,,,,,,,334,,120,,,126,,312,285,99
ba16,18.3972,78.2453,48.91,2.38,13.93,14.09,,0.19,6.6,11.24,2.28,0.15,0.21,,,0.0119,,,0.2,72.5,35.1,141.9,,,88.6,0.9,231.6,380,141.2
d93,21.5,70.5,48.91,2.96,17.02,2.05,10.26,0.17,4.18,9.38,3.15,1.47,0.45,,,,,,,478,,23,,,14,39,497,391,230
17,13.085,76.415,48.91,3.02,15.75,3.1,8.4,0.18,9.85,6.57,3.12,0.26,0.23,,,,,,,,6,279,,,76,10,43,,
abc11,18,73.75,48.91,3.49,12.56,16.6,,0.24,5.4,9.62,2.58,0.29,0.3,,,,,,,116,,,,,63,7,229,,199
no.9d (921),18.9,72.3,48.92,1.38,13.21,11.98,,0.18,9.96,10.22,1.96,0.47,0.15,,,0.0535,,,1.48,136,,556,,,213,11,200,,80
kl2,21.46,78.45,48.92,1.76,13.85,6.1,6.46,0.21,6.77,11,2.49,0.16,0.2,,,,,,,,,,,,,,,,
rr20,16.26,80.01,48.92,2.45,13.13,3.91,9.2,0.17,7.01,9.67,3,1.27,0.04,,,,,,1.807,724.4,50.6,490.2,,,158.9,26.5,401.5,218.5,33.1
kv-04-52,20.5,78,48.92,2.63,13.92,,14,0.18,6.49,10.92,2.42,0.29,0.23,,,,,,,68,,98,,,108,,252,459,155
pmh14,17.75,77.75,48.92,3.32,13.01,16.85,,0.22,4.91,9.46,2.5,0.59,0.34,,,,,,0.46,201,38,78,,,56,23,251,417,222
rih-21,15.90180556,76.08902778,48.93,0.62,13.9,12.3,,0.18,12.9,9.43,1.64,0.2,0.04,,,,,,0.5,58.77,70,412,,,153,7.14,118,410,20.93
rih-21,15.96165,75.9647,48.93,0.62,13.9,12.3,,0.18,12.9,9.43,1.64,0.2,0.04,,,,,,0.5,58.77,70,412,,,153,7.14,118,410,20.93
ddh-093,20,73.8167,48.93,0.85,14.88,,10.42,0.182,8.82,13.81,1.8,0.23,0.082,,,,,,,62,34,373,,6,148,5,121,307,56
s-733,21.38333333,82.61666667,48.93,1.07,13.36,14.84,,0.18,7.59,11.14,1.86,0.18,0.12,,,,,,1.87,131,63,296,0.14,,138,4,122,292,16
nj15-51,23.17,79.98,48.93,1.98,14.39,,13.11,0.2,6.62,12.34,2.13,0.11,0.19,,,,,,,55,,160,,,96,,212,401,126
bas209,16.7,74.2167,48.93,2.12,13.92,13.62,,0.21,7.49,9.84,2.3,0.36,0.4,,,,,,,82,,298,,,148,8,210,365,145
ma-w-23,17.93,73.6,48.93,2.77,13.6,,14.3,0.21,6.42,11.18,2.23,0.13,0.23,,,,,,,25,,124,,,90,,208,396,152
bas124,15.975,74.07,48.93,3.65,13.33,15.13,,0.22,5.27,10.28,2.43,0.45,0.31,,,,,,,130,,,,,76,15,229,,230
mnmd-11,10.96666667,78.4,48.94,1.63,14.88,13.69,,0.16,6.22,9.21,2.84,0.73,0.26,,,,,,,832.232,96.537,78.246,0.283,,69.565,16.694,605.364,584.616,57.854
ig15,19.68,73.63,48.94,1.82,13.75,5.2,6.91,0.18,7.57,10.34,2.32,0.74,0.18,,,,,,1.29,197,54,325,,,73,14,235,318,139
12,18.21,73.545,48.94,1.85,14.01,6.76,6.64,0.17,6.6,9.96,1.97,0.46,0.13,,,,,,2.4,117,,,,,136,6,208,,124
6,18.21,73.545,48.94,2.55,12.69,5.11,10.4,0.09,6.14,8.3,2.14,0.59,0.41,,,,,,2.22,126,,,,,74,16,209,,187
974,18.3,73.5,48.94,2.62,13.35,13.3,,0.18,6.8,10.66,2.5,0.4,0.26,,,0.001,,,0.8,111,,217,,,133,1,249,,106
55,21.5,70.5,48.94,2.63,14.67,3.1,11.67,,4.41,10.65,3.23,0.7,,,,,,,,,,,,,,,,,
mg-07-51,19.83,77.98,48.94,2.72,13.36,,15.26,0.2,5.89,10.6,2.41,0.37,0.25,,,,,,,63,,83,,,81,8,229,540,164
bb11,18.0108,77.4806,48.94,2.73,13.64,15.55,,0.21,6.31,10.81,2.39,0.33,0.26,,,0.01267,,,0.1,88.4,37,116.4,,,85.7,8.1,243.8,396,165.3
sh115,21.88,74.47,48.94,2.74,13.2,16.05,,0.22,5.4,10.38,2,0.21,0.26,,,,,,1.29,92,232,,,,72,6.225,211.25,351,152
pmd13,22.5,78.625,48.94,2.9,12.14,17.26,,0.2,4.46,9.67,2.05,0.61,0.25,,,,,,1.18,165.5,45.13,349.3,,,37.42,16.12,172.9,512.8,157.4
d85,21.5,70.5,48.94,2.93,17.12,1.8,9.02,0.14,4.03,12.02,2.32,1.21,0.46,,,,,,,278,,136,,,81,22,138,255,235
9,16.2,76.7,48.95,0.92,13.71,4.82,10.24,0.64,6.77,10.09,2.4,0.3,0.18,,,,,,0.78,234,76,209,,9,0.166,14,107,278,46
23,12.7,76.29,48.95,0.95,8.18,1.49,10.42,0.27,17.96,9.15,1.09,0.15,1.22,,,,,,1.12,,,,,,,,,,
d,15,78,48.95,1.09,15.09,5.57,7.69,0.24,0.9,5.72,3.69,0.74,0.17,,,,,,,,,,,,,,,,
5,18.9772,81.5217,48.95,1.15,14.73,14.99,,0.19,6.59,10.7,2.37,0.27,0.12,,,,,,0.74,115,,182,,,119,7,112,,62
5,18.97722222,81.52166667,48.95,1.15,14.73,14.99,,0.19,6.59,10.7,2.37,0.27,0.12,,,,,,0.74,115,,182,,,119,7,112,,62
ak/rl2/3,16.837,79.28,48.95,4.13,6.47,10.5,,0.13,9.42,8.06,1.31,5.39,1.73,,,,,,3.24,855,39,380,0.6,,300,119,1683,119,1050
ak/rl2/3,16.83702778,79.28,48.95,4.13,6.47,10.5,,0.13,9.42,8.06,1.31,5.39,1.73,,,,,,3.24,855,39,380,0.6,,300,119,1683,119,1050
mm12,11.43583333,76.32638889,48.96,0.77,13.91,13.37,,0.17,7.27,10.77,1.89,0.3,0.06,,,,,,1.4,42.34,50.81,201.17,0.03,9.66,144.11,0.12,161.76,288.28,39.51
7,18.6,73.5,48.96,1.19,14.49,5.48,8.87,0.2,3.9,12.17,2.35,0.33,0.14,,,,,,2.6,,,,,,,,,,
wntf-3,21.78,73.57,48.96,1.22,14.71,12.91,,0.17,6.81,12.35,1.87,0.28,0.22,,,,,,0.29,46,,,,,73,11,158,,57
1,18.6,73.5,48.96,1.53,15.51,3.38,7.44,0.18,5.8,12.06,2.45,0.43,0.13,,,,,,1.8,,,,,,,,,,
abc18,18,73.75,48.96,2.31,13.97,13.3,,0.18,7.8,10.27,2.51,0.44,0.21,,,,,,,167,,,,,174,10,264,,135
sa82-32,23.41,80.19,48.96,2.49,13.14,,15.09,,6.29,11.41,1.98,0.1,0.25,,,,,,,15,,,,,75,1.085,224.95,438,172
ma-w-27,17.93,73.6,48.96,2.78,13.31,,14.56,0.2,6.54,10.86,2.26,0.29,0.24,,,,,,,61,,120,,,85,4,204,437,155
bg f8s8,22.5,80.5,48.96,3.01,14.37,14.81,,0.19,4.69,9.51,2.96,0.54,0.28,,,,,,0.68,37,,,,,92,1,230,,160
sp/90/126,21.1,80,48.97,1.72,13.18,15.75,,0.21,6.16,10.45,1.22,0.69,0.15,,,,,,1.14,,50,180,,,70,,,,
ak/yl2/b/1,16.85275,79.25422222,48.97,3.87,6.65,9.87,,0.09,8.85,9.45,1.17,3.59,1.84,,,,,,5.53,2384,35,420,0.6,,290,71,1239,125,523
ak/yl2/b/1,16.8528,79.2542,48.97,3.87,6.65,9.87,,0.09,8.85,9.45,1.17,3.59,1.84,,,,,,5.53,2384,35,420,0.6,,290,71,1239,125,523
in-1,20.47,77.53,48.98,2.4,12.89,2.77,12.48,0.22,5.54,10.37,2.37,0.38,0.19,,,,0.036,,1.53,130,39,42,,6,65,8,260,350,100
